auctionid,bid,bidtime,bidder,item_title,category
1787846414,42.94,0.028836964645466368,user_2162,Item_7890,Sporting Goods
3563451924,15.5,3.1356891513063294,user_4510,Item_7614,Jewelry
5537253172,14.8,3.061524743541854,user_1535,Item_9610,Toys
8395928407,93.91,1.569120602584637,user_11990,Item_9823,Toys
5298312065,10.12,4.169065178230769,user_13837,Item_4092,Collectibles
3652062880,6.39,1.8040908739284571,user_2523,Item_8263,Fashion
5325316860,13.07,6.9245768178537626,user_5464,Item_1243,Collectibles
3253890010,93.56,4.8623310622596865,user_11219,Item_6652,Sporting Goods
5495394815,24.2,6.418355117984069,user_10626,Item_3786,Collectibles
5684118973,16.82,0.41242503123858276,user_8344,Item_9549,Toys
2934879560,30.5,2.6657448326599664,user_4473,Item_9621,Fashion
9646907153,59.44,0.5799418334304905,user_7269,Item_1229,Sporting Goods
6950318585,208.86,4.427961936957885,user_1331,Item_2125,Jewelry
1068574553,50.46,1.0391739551768793,user_14437,Item_1143,Jewelry
1991681409,347.94,1.998406104860658,user_524,Item_4593,Home
4578544903,79.65,3.5457094210415825,user_5892,Item_8296,Automotive
6974559824,23.17,6.635996613748615,user_3015,Item_7708,Jewelry
7120997885,96.47,6.584555163840054,user_8885,Item_6240,Music
6188069941,71.12,3.3992207933649077,user_11711,Item_3222,Music
7733221635,133.56,2.724932695738519,user_123,Item_7232,Toys
5429456860,80.19,2.365432543803898,user_8510,Item_6883,Home
7226646571,37.97,6.716359056498058,user_11704,Item_3795,Automotive
6992124617,18.59,5.212631723839821,user_5410,Item_7879,Fashion
9274936803,38.93,3.8981727785125604,user_4572,Item_9598,Electronics
8418576734,5.59,0.6473123611640736,user_1700,Item_3779,Electronics
5128202429,27.23,1.041257830747794,user_9934,Item_2249,Jewelry
7612927342,8.04,5.993478004969574,user_14350,Item_4542,Home
3520077079,57.39,6.737223872098146,user_2081,Item_3036,Fashion
9440707288,90.11,5.667233583266208,user_8995,Item_9806,Toys
2272485020,48.36,3.0090510394373475,user_13417,Item_1264,Automotive
1067157848,27.25,1.690626798487207,user_12264,Item_5588,Home
4055190407,23.52,0.9465637742850154,user_12473,Item_839,Toys
3602578298,139.94,1.0507111361640091,user_7777,Item_4227,Music
4978431977,108.18,2.567429534579572,user_11187,Item_7053,Jewelry
4929721883,9.27,5.2096633087119235,user_7240,Item_2015,Automotive
5704750624,44.98,5.033095868575827,user_12905,Item_7602,Collectibles
2644658402,48.92,3.1078003229531093,user_14346,Item_1876,Fashion
5173471662,25.88,2.6293924994766416,user_2665,Item_4102,Jewelry
8941024386,6.43,2.7488489235541587,user_6078,Item_5996,Automotive
